Filtered,reviewContent
0,I came to Chicago on business and was initially supposed to stay downtown; however a colleague recommended this hotel--and I am so glad that they did! The attention to detail and finishing touches in my room are what made this hotel feel like home. Staying in a smaller hotel allowed me to connect with the local Chicago vibe while simultaneously enjoying exquisite service from the staff at a fraction of what it might cost to stay in a Magnificent Mile high-rise. Considering the quality ambiance and charm of this hidden Chicago treasure it made my trip a memorable experience. Not only was I able to secure a bike rental to avoid the high cost of renting a car but I also was directed to some of the local galleries in the West Loop by the friendly staff members.
0,I still love this place but the took Mu Shu off the menu. Â I am deeply saddened. Show owner comment Â»
0,Alan is the best CPA that I know. He knows all the in's and out's of tax law and loop holes. He is smart as a whip and a very fun and personable guy. He will go out of his way to help you out. He is bi-lingual in both in both English and French. He does both personal business and corporate tax. He is licensed in both VT and NH. If you can not make it to his office in Sunapee NH he will do house calls!! Give him a call today!! He has help me out and $aved me $$$!
0,My family has been using Korean Air for many many years now. Going to Asia Korean Air is one of the lowest priced airlines and yet their service is not compromised. The flight attendants are lovely professional and polite. Check in is good and the meals served are also good. The only thing is that if you have to speak with their customer service line it's quite hard to communicate with their staff. Luckily I have some Korean friends and they have done the talking for us otherwise it couldve been worse. All their baggage policies are the standard international size and weight limitations. I suggest not only with this airline but with all airlines to familiarize yourself with their change cancellation and baggage policies before you commit. Airlines will serve the food their country
0,I hadn't been to Grisanti's since a pre-homecoming dinner in high school so I had no idea what to expect. Â But since I had watched a cooking show that involved homemade ravioli last night that's what I had my heart set on when we arrived. Â I figured... Italian Restaurant has to have ravioli right? Well long story short they didn't (except for the fried appetizer kind) and I settled for spinach and chicken manicotti. Â But before I got to that I indulged in copious amounts of the complementary never-ending butter-injected bread with marinara sauce. Â Then I opted for a cup of 'roasted onion soup' in lieu of salad (but had salad also since everyone else at the table ordered it and it was served family style). Â  The soup (which I guess they don't want to call 'French Onion' since that woul
0,I have eyed this shop at the Old orchard location and was thrilled to have time to wander into the Evanston shop. First off- let me say the the you girl who was working (short reddish hair glasses and piercings) was incredibly friendly and helpful. Â My mother and I were in the shop close to closing time but that did not deter her from grabbing other merchandise to show us and really helping us! Â She was ab Fab. The pricing is incredibly cheap. Â I picked up a cape/sweater thing for the office for 38$. Â My mother picked up a great sweater to throw on to go shopping etc for the same price. I mean really. Â 38$? Â  The selection of gifts and cards is really cute. Â I am a fan of this place!
1,The highlight is the unique menu. The assorted pancakes waffles and other breakfast goodness make it a great breakfast choice. The portions are generous the ingredients are fresh and the flavors are wonderful! The service and atmosphere are also both amazing. The one downside is that they really back you in here when they are busy but business is business!
0,So this was my first Yelp outing... I arrived right around 7:30 pm - a few others were there before me - we had to stand outside for a few minutes - which did not bother me. We had a little room in the back to ourselves. Before ordering we had to negotiate with our server about the fact that several of us needed to have separate checks as we were paying with credit cards - our server tried to make this into a difficult task - but in the end we got what we wanted. I eagerly looked over the menu since I had heard good things about this place. I was disappointed to see that there was no Poki offering on the menu. So I asked anyway - no no Poki. So then I ordered Miso soup Edamame and a variety of rolls and Nigiri sashimi. First I was informed that they were out of Edamame then out of sc
0,Not having a sweet tooth not being a non-cupcake aficionado I love Yelp for pointing out little gems like the Hummingbird Bakery. Am I right in saying that cupcakes are an American obsession which is slowly translating itself across the Atlantic and in years to come just like the indigenous red squirrels of today we'll be creating special protected areas to try to stop the humble English custard tart from being wiped out by its more aggressive American cake cousin? From the outside the cute arrangement of the different coloured tarts in the window display made me think it was an art gallery until the words Hummingbird Bakery over the shop triggered the latent Yelp memories. So I told my friend confidently that this was the best cupcake in town according to my knowledgeable Yelp friends
0,Ok the wait this time was decent despite a packed house. Â I went at 12:45 so perhaps that made the difference. Â Back to 3 stars. We split a dragon roll Â a spicy salmon roll and a crab salad roll. Â So sue us we were hungry. Â  The eel on the dragon roll was really good this time-- fresh and moist. Â The salmon was fantastic-- really fresh high quality vibrant and buttery. Â Points for drsssing the salmon so it lacked any of those tough stringy things. Â You know what I'm talking about. Â Those things completely ruin a bite of sushi for me. Â The edamame were slightly overcooked. Â Like I said we were hungry. Â  If the quality remains this high consistently they will remain in my good graces. Â And isn't that what everyone wants?
